Coaches
"John Harbaugh,Head Coach"
"Declan Doyle,Offensive Coordinator"
"Anthony Weaver,Defensive Coordinator"
"Anthony Levine Sr.,Special Teams Coordinator"
"Harland Bower,Outside Linebackers Coach"
"Marcus Brady,Passing Game Coordinator"
"Randy Brown,Senior Special Teams Coach"
"Kenan Clarke,Coaching Fellowship"
"Eliana Detata,Coaching Fellowship"
"Ben Davis,Coaching Research Engineer"
"Christina Deruyter,Chief of Staff to the Head Coach"
"Keary Colbert,Wide Receivers Coach"
"Eddie Faulkner,Running Backs Coach"
"Lou Esposito,Defensive Line Coach"
"Shawn Flaherty,Assistant Offensive Line Coach"
"Charlie Gelman,Game Management Coordinator/Defensive Assistant"
"Prentice Gill,Assistant Wide Receivers Coach"
"Greg Goines,Assistant Strength and Conditioning Coach"
"Zack Grossi,Tight Ends Coach"
"Travis Hawkins,Coaching Fellow"
"Ben Kotwica,Senior Assistant Special Teams Coach"
"Patrick Kramer,Offensive Quality Control Coach"
"Dwayne Ledford,Run Game Coordinator/Offensive Line Coach"
"Joe Lombardi,Senior Offensive Assistant Coach"
"Megan McLaughlin,Senior Director of Football Information"
"Tony Michalek,Officiating Liaison"
"Mike Mickens,Pass Game Coordinator/Secondary"
"Rick Minter,Football Analyst"
"Matt O'Donnell,Defensive Assistant"
"Alex Officer,Coaching Fellow"
"Andrew Rogan,Defensive Quality Control Coach"
"Tyler Santucci,Inside Linebackers Coach"
"Miles Taylor,Assistant Defensive Backs Coach"
"Opetaia Tuiava,Coaching Fellow"
"PJ Volker,Safeties Coach"
"Israel Woolfork,Quarterbacks Coach"
