Support Staff
"Jenn Hoffman,Chief of Staff to the General Manager"
"Joey Cleary,Director of College Scouting"
"Corey Frazier,Director of Pro Personnel"
"Derrick Yam,Director of Data & Decision Science"
"Jameel McClain,Director of Player Engagement"
"Dr. Nic Gill,VP of Health and Performance"
"Adrian Dixon,Head Certified Athletic Trainer"
"Chris Marroquin,Director of Player Rehabilitation"
"Kenico Hines,Head Equipment Manager"
"Mark Bienvenu,VP of Football Video Operations"
"Collin Ferguson,Director of Football Video Operations"
"Spencer Krock,Football Communications Coordinator"
